CountryCode,Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
120,Cameroon,44,53,59,60,75,75,77,62,71,,71,74,74,76,77,78,78
124,Canada,,,,40,39,36,35,42,36,45,62,68,57,64,78,75,76
132,Cape Verde,,,,,,,64,42,53,72,71,64,79,,74,,
136,Cayman Islands,,,,,100,100,40,100,,,,0,,,,50,50
140,Central African Republic,,37,,,,,58,54,,59,90,66,,67,71,53,68
148,Chad,63,47,,,64,,,,58,74,71,,54,,,76,68
152,Chile,83,79,80,77,83,83,82,83,86,85,83,83,85,85,72,72,71
156,China,91,93,94,95,95,95,93,95,92,93,94,94,94,94,94,95,96
344,"China, Hong Kong Special Administrative Region",,,,,85,61,61,63,64,65,65,63,64,66,68,70,68
446,"China, Macao Special Administrative Region",75,,,81,,78,89,86,82,83,89,93,88,91,89,88,93
170,Colombia,,,,,74,81,80,71,73,80,80,71,71,77,76,77,79
174,Comoros,94,90,,85,,93,93,92,96,,94,91,,93,90,,91
178,Congo,69,,,,,61,69,66,71,69,63,28,53,,76,78,77
184,Cook Islands,100,100,100,100,,67,,0,100,,0,100,,100,50,,
188,Costa Rica,,,,,,81,57,64,79,91,,89,88,88,89,54,87
384,Cote d'Ivoire,17,68,56,61,62,63,57,72,65,72,69,74,73,73,76,79,77
191,Croatia,,,,,,,,,70,38,46,46,30,61,58,63,75
192,Cuba,86,90,92,90,94,91,93,93,92,93,93,91,90,92,88,90,89
196,Cyprus,,100,,,42,,,92,75,79,20,63,88,,58,29,25
203,Czech Republic,73,60,66,69,65,78,70,73,73,79,73,72,69,72,68,67,69
180,Democratic Republic of the Congo,72,74,48,64,70,69,78,77,78,83,85,85,86,87,87,88,90
208,Denmark,,,,,,,86,88,77,84,88,83,77,79,41,53,65
262,Djibouti,,75,77,76,79,72,62,,82,73,80,80,78,81,84,79,80
212,Dominica,,,100,83,,,,100,,,,,50,67,100,100,100
214,Dominican Republic,71,64,61,84,41,76,70,78,77,80,79,84,78,78,75,85,80
218,Ecuador,,39,33,55,,66,,71,84,84,85,83,61,75,78,75,79
818,Egypt,52,62,51,78,83,85,87,82,88,80,70,79,87,89,89,88,86
222,El Salvador,0,,64,69,77,78,79,88,88,88,90,91,91,91,91,89,91
226,Equatorial Guinea,89,89,77,82,,,,,,51,,,,60,56,66,70
232,Eritrea,,,,83,73,44,76,80,82,85,85,88,90,88,76,85,84
233,Estonia,,,,,65,63,70,64,67,70,71,72,68,61,60,59,68
231,Ethiopia,74,61,71,72,74,74,80,76,76,70,79,78,84,84,84,84,83
242,Fiji,90,86,86,91,90,92,85,85,78,86,,71,66,81,90,94,67
246,Finland,,,,,,,,,,,,,,70,72,68,74
250,France,,,,,,,,,,,,,,,,,
258,French Polynesia,,67,95,100,74,85,97,80,82,83,80,89,85,85,96,89,92
266,Gabon,,86,,50,50,,,,47,34,40,46,46,36,53,55,63
270,Gambia,74,76,80,70,,,,71,74,75,86,87,58,84,84,89,88
268,Georgia,,58,73,65,78,61,63,67,65,66,68,73,75,77,73,75,76
276,Germany,,,,54,54,58,77,67,69,71,68,71,40,77,68,77,77
288,Ghana,,54,51,48,54,51,50,56,60,66,72,73,76,84,86,87,86
300,Greece,,,,,,,,,,,,,,,,,
304,Greenland,,,,,,,,,,,,,,,,,
308,Grenada,,,,75,50,67,,,100,50,,67,,100,33,50,75
316,Guam,,,,,,94,93,71,68,96,100,85,90,89,90,96,84
320,Guatemala,62,61,81,73,79,81,86,85,84,91,85,,47,84,83,83,83
324,Guinea,78,78,75,74,73,74,68,74,72,75,72,72,75,79,78,79,80
624,Guinea-Bissau,,65,,,,35,,56,56,76,75,69,,71,70,67,73
328,Guyana,,44,76,15,,55,55,73,66,55,62,59,64,71,69,70,71
332,Haiti,,70,57,71,67,67,71,73,75,75,77,80,81,82,,79,82
340,Honduras,34,64,68,70,80,82,86,86,87,87,85,88,86,85,85,86,85
348,Hungary,,,52,75,80,,64,46,55,48,54,45,46,51,53,57,69
352,Iceland,100,100,100,75,100,100,100,67,100,100,50,100,50,86,80,75,88
356,India,83,25,21,18,27,21,34,54,60,76,82,86,86,87,87,88,88
360,Indonesia,94,91,81,54,58,50,87,86,86,87,90,91,91,91,91,91,90
364,Iran,,,83,83,82,82,85,85,85,84,84,83,83,83,83,83,83
368,Iraq,95,80,77,67,60,62,92,89,91,85,85,86,84,86,88,90,89
372,Ireland,,,,,,48,84,56,77,70,78,64,66,70,76,67,73
376,Israel,,,,,,82,83,85,86,83,83,84,82,80,88,86,76
380,Italy,,80,82,69,72,71,74,40,79,95,,,,,,,
388,Jamaica,,67,72,79,89,74,45,,49,53,46,57,41,56,64,70,47
392,Japan,,,,,80,39,45,58,63,65,58,59,53,46,48,52,52
400,Jordan,90,92,,85,92,88,90,86,89,87,85,83,71,77,84,75,87
398,Kazakhstan,,,,74,79,79,79,78,78,75,72,71,72,69,64,62,61
404,Kenya,73,75,77,65,77,79,80,80,79,80,80,82,85,85,85,86,87
296,Kiribati,,87,,,83,88,91,86,94,88,94,93,90,93,96,97,93
408,North Korea,,,62,34,83,93,82,90,88,88,89,89,86,87,89,89,90
410,South Korea,71,76,71,82,,82,83,79,83,82,80,83,81,82,84,83,89
414,Kuwait,51,71,73,71,70,66,69,73,55,62,63,63,78,79,80,85,87
417,Kyrgyzstan,,,50,76,82,83,82,81,82,84,85,85,82,85,84,82,
418,Lao People's Democratic Republic,48,70,55,65,80,78,77,75,75,79,86,90,92,92,93,93,91
428,Latvia,60,61,64,65,71,74,72,73,76,74,73,74,73,82,33,75,76
422,Lebanon,89,91,73,65,73,96,92,91,91,92,90,92,90,90,77,82,80
426,Lesotho,56,47,71,63,,69,,71,71,70,69,73,66,67,73,70,69
430,Liberia,69,79,,75,,74,80,76,76,73,70,76,,71,79,83,
434,Libyan Arab Jamahiriya,64,65,,,68,67,,,61,62,64,69,77,67,69,,64
440,Lithuania,,,78,65,69,72,73,72,71,74,72,70,74,70,82,73,68
442,Luxembourg,,100,100,100,,,,,,,,,,,,,0
450,Madagascar,51,55,,64,,,70,69,74,71,71,74,78,80,81,82,82
454,Malawi,22,71,68,71,69,71,73,70,72,73,71,73,78,85,87,88,87
458,Malaysia,,69,,,,90,78,79,76,72,56,70,48,72,78,78,80
462,Maldives,95,97,93,94,94,94,97,97,95,91,95,86,91,68,45,47,82
466,Mali,68,59,65,62,70,69,,50,50,65,71,75,76,78,82,78,76
470,Malta,60,100,100,100,100,75,100,100,60,100,100,100,100,75,60,80,80
584,Marshall Islands,,25,,,83,82,91,86,100,90,90,87,75,96,97,84,80
478,Mauritania,,,,,,,,,,58,22,55,41,66,68,63,69
480,Mauritius,96,,,,91,87,93,93,92,87,89,86,92,85,87,88,90
484,Mexico,63,75,54,70,75,78,76,,83,82,82,77,80,84,85,86,87
583,Micronesia,64,80,79,,,95,93,100,91,92,80,80,90,65,47,88,97
492,Monaco,,,,,,,,,,,,,,,,,
496,Mongolia,60,74,78,74,84,86,87,87,87,87,88,88,88,89,87,88,86
499,Montenegro, , , , , , , , , , , ,30,33,79,85,86,87
500,Montserrat,,,,,50,50,,,,,,,,,,,
504,Morocco,86,90,88,89,88,88,89,,89,86,87,81,87,86,85,84,85
508,Mozambique,67,39,55,65,,71,75,78,78,76,77,79,83,79,84,85,85
104,Myanmar,77,67,79,82,82,81,82,81,81,81,84,84,84,85,85,85,86
516,Namibia,,,66,58,61,51,56,63,66,63,68,75,76,82,82,85,85
520,Nauru,,,,,83,50,25,100,50,,,67,100,100,100,,67
524,Nepal,73,73,65,69,85,82,84,87,86,87,87,88,88,88,89,90,90
528,Netherlands,81,72,81,80,65,79,76,,68,86,83,84,,79,85,80,78
530,Netherlands Antilles,,,,,,,0,,,,,,,,, , 
540,New Caledonia,62,75,,,70,77,89,84,85,75,94,94,89,77,82,93,76
554,New Zealand,,,,,,,30,9,60,,68,60,70,86,73,76,74
558,Nicaragua,81,80,79,81,82,81,82,83,82,84,87,85,89,86,89,85,85
562,Niger,,,57,66,,60,65,64,58,70,61,74,77,79,81,79,82
566,Nigeria,65,49,32,73,73,75,79,79,79,78,73,75,76,82,78,83,84
570,Niue,,,,,,100,,,100,,,,,,,,
580,Northern Mariana Islands,,,,56,79,80,81,74,71,75,88,73,85,92,77,81,82
578,Norway,,77,80,44,69,77,70,87,80,97,89,91,93,79,84,82,91
512,Oman,,84,87,91,86,95,93,90,92,90,90,90,86,91,98,98,97
586,Pakistan,69,70,,67,23,70,74,77,78,79,82,83,88,91,90,91,91
585,Palau,64,67,75,,100,,,100,38,80,100,100,60,,,75,88
591,Panama,71,69,,52,52,44,60,64,71,63,77,80,79,79,79,80,80
598,Papua New Guinea,60,56,,93,63,54,63,67,53,58,65,71,73,39,64,72,58
600,Paraguay,46,51,16,,56,71,66,72,75,76,68,79,79,82,81,80,78
604,Peru,81,83,89,90,92,93,90,90,92,89,90,91,78,92,82,81,68
608,Philippines,88,60,35,78,71,87,88,88,88,88,87,89,88,89,88,89,91
616,Poland,92,,83,,75,69,72,76,86,78,79,77,75,76,74,67,66
620,Portugal,48,69,74,78,74,85,79,78,82,84,84,89,87,87,87,84,
630,Puerto Rico,,68,69,69,72,70,64,76,60,66,71,75,80,86,63,81,78
634,Qatar,83,81,72,79,84,74,66,60,75,73,78,83,69,67,73,80,67
498,Republic of Moldova,,,,,,60,63,64,54,65,62,62,62,62,62,54,57
642,Romania,38,51,41,72,42,77,70,75,74,80,80,82,83,85,84,85,84
643,Russian Federation,,65,57,67,68,65,68,67,67,61,60,58,58,58,57,55,53
646,Rwanda,,,61,68,72,67,61,,58,67,77,83,86,86,87,85,88
659,Saint Kitts and Nevis,,60,,,25,50,,,0,,,,100,25,80,80,100
662,Saint Lucia,,,,67,82,89,100,50,25,89,64,69,80,84,94,57,89
670,Saint Vincent and the Grenadines,,,,86,,88,100,80,,,86,,75,,100,0,0
882,Samoa,50,80,100,,86,94,92,77,84,,100,91,,92,71,90,100
674,San Marino,,,,100,,,0,,,,,,,,,,
678,Sao Tome and Principe,,,,,,81,78,63,76,71,72,98,94,90,94,98,78
682,Saudi Arabia,,,54,56,62,73,73,77,76,79,82,65,69,67,61,65,62
686,Senegal,38,44,44,55,48,58,52,53,66,70,74,76,76,77,84,85,85
688,Serbia, , , , , , , , , , , ,85,84,84,86,86,86
891,Serbia and Montenegro,,52,,,,,89,88,91,89, , , , , , , 
690,Seychelles,89,89,100,100,,91,82,67,45,100,92,,,89,100,64,100
694,Sierra Leone,75,69,74,79,,75,77,80,81,83,82,86,87,89,86,79,86
702,Singapore,88,86,,,84,93,71,77,76,77,81,83,84,81,81,82,80
703,Slovakia,96,64,73,67,85,79,82,87,85,87,88,92,81,86,93,82,84
705,Slovenia,,90,87,82,78,88,84,82,85,85,90,84,92,82,80,87,85
90,Solomon Islands,90,65,73,92,92,,81,89,90,87,87,85,90,92,94,88,87
706,Somalia,93,86,84,90,88,88,83,86,89,90,91,89,89,86,81,85,89
710,South Africa,78,58,61,68,72,57,63,61,68,67,69,71,74,74,76,73,79
728,South Sudan, , , , , , , , , , , , , , , , ,75
724,Spain,,,,,,,,,,,,,,,,,70
144,Sri Lanka,77,79,80,76,76,79,79,80,81,80,85,86,87,86,85,86,86
275,State of Palestine,,100,,,,,,,100,80,50,100,94,93,94,82,83
729,Sudan,96,79,26,59,65,80,75,80,78,82,77,82,82,78,81,80,80
740,Suriname,,14,,,63,77,68,56,67,69,73,,,,59,66,60
748,Swaziland,,,,,,,,36,47,42,50,42,43,58,68,69,73
752,Sweden,,,,,,,79,62,73,83,64,74,63,66,87,85,85
756,Switzerland,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,46,61,68,65,88,84,78,81,87,88,86,89,86,88,86,88,89
762,Tajikistan,,88,82,75,,,77,72,79,46,56,82,85,83,82,81,80
764,Thailand,58,64,78,58,68,77,69,75,74,73,74,75,77,83,82,86,85
807,Macedonia,,70,80,,77,83,86,89,81,84,84,84,87,87,89,90,90
626,Timor-Leste, , , , , , , , ,81,81,80,82,79,84,85,,88
768,Togo,45,60,65,66,69,76,,59,68,63,67,71,67,76,79,81,84
772,Tokelau,100,,,,,,,,,,100,,,,,,
776,Tonga,89,75,82,75,94,80,93,92,83,,,73,100,93,100,83,83
780,Trinidad and Tobago,60,69,75,75,65,63,68,72,,73,77,72,57,65,67,69,76
788,Tunisia,,,,89,91,91,91,90,92,91,90,90,91,89,86,83,85
792,Turkey,,,71,,66,,73,72,65,72,85,89,91,91,92,91,91
795,Turkmenistan,,73,64,59,,60,81,64,74,71,,85,86,84,83,84,
796,Turks and Caicos Islands,,,,,71,,0,,0,,,67,,,,,75
798,Tuvalu,100,,,0,,100,86,,25,,100,100,75,75,78,88,100
800,Uganda,,44,33,40,62,61,63,56,60,68,70,73,70,75,70,67,71
804,Ukraine,77,83,43,,,,,,,,,,59,59,62,60,60
784,United Arab Emirates,,,,,93,,74,62,79,64,70,73,79,64,68,73,69
826,United Kingdom,,,,,,,,77,62,,68,68,72,77,78,82,81
834,Tanzania,80,73,76,77,76,78,78,81,80,81,81,82,85,88,88,88,90
840,United States,72,76,79,79,81,82,83,83,83,83,83,84,84,85,85,60,64
850,United States Virgin Islands,,50,,,,,,,,,,,,,,,
858,Uruguay,83,68,80,77,84,83,85,85,82,,,84,87,84,83,80,85
860,Uzbekistan,,78,,,78,79,80,76,80,85,82,81,81,79,81,81,81
548,Vanuatu,100,85,99,,,88,88,88,79,75,90,81,90,93,91,96,80
862,Venezuela,68,74,80,72,81,82,76,78,82,82,81,83,82,82,83,84,83
704,Viet Nam,91,89,89,85,92,92,92,93,92,92,93,92,93,92,92,92,92
876,Wallis and Futuna Islands,80,,,,,,,100,100,,100,,100,,100,,100
887,Yemen,40,52,52,70,67,74,72,76,80,82,82,80,83,84,85,88,87
894,Zambia,,70,,,,69,67,74,80,75,83,84,85,85,88,90,86
716,Zimbabwe,52,53,32,69,70,73,69,71,67,66,54,68,60,78,74,78,81
