CountryCode,Country,1990,1995,2000,2005,2010
288,Ghana,,,1.8,,
300,Greece,9.5,,12.5,12.7,
308,Grenada,,,,,
320,Guatemala,,,2.5,3.1,
324,Guinea,,,0.2,,
624,Guinea-Bissau,0.1,0.6,0.6,,
328,Guyana,0.6,,0.7,,
332,Haiti,7.5,,8.6,,
340,Honduras,,,1.2,2.2,
348,Hungary,,,5.6,5.4,
352,Iceland,0.1,,0.1,0.1,
356,India,26.2,,31.9,,33.9
360,Indonesia,3.7,,5.6,,
364,Iran,,50.9,65.5,67.9,
368,Iraq,47.6,60.5,73.4,,
372,Ireland,,,,,
376,Israel,89,,86.7,79.7,
380,Italy,,,23.7,,
388,Jamaica,,9.9,,,
392,Japan,21.3,18.1,20.9,,
400,Jordan,100,,,90.5,
398,Kazakhstan,,30.7,17.6,19.3,18.6
404,Kenya,6.7,,,8.9,
296,Kiribati,,,,,
408,"Korea, Democratic People's Republic of",,,,11.2,
410,"Korea, Republic of",,,36.5,,
414,Kuwait,,,2075,,
417,Kyrgyzstan,,41.5,42.7,32.6,
418,Lao People's Democratic Republic,,,,1,
428,Latvia,,0.8,1.2,,
422,Lebanon,,29.3,28.2,18.6,
426,Lesotho,,,1.4,,
430,Liberia,,,0.1,,
434,Libyan Arab Jamahiriya,680,657.1,609.7,,
438,Liechtenstein,,,,,
440,Lithuania,,1,11.2,9.6,
442,Luxembourg,1.9,1.8,1.9,,
450,Madagascar,,,4.9,,
454,Malawi,,5.4,7.7,7.9,
458,Malaysia,1.7,0.9,1.6,1.9,
462,Maldives,,,,,15.7
466,Mali,,,6.5,,
470,Malta,,350,71.3,,
584,Marshall Islands,,,,,
478,Mauritania,,,14,11.8,
480,Mauritius,20.6,22.4,22.2,26.4,
484,Mexico,,,15.8,17.3,17.6
583,Micronesia,,,,,
492,Monaco,,,,,
496,Mongolia,,1.2,,1.6,1.6
499,Montenegro,,,,,
504,Morocco,38.1,38.8,43.5,,
508,Mozambique,0.3,,0.4,,
104,Myanmar,,,2.8,,
516,Namibia,1.4,1.5,1.6,,
520,Nauru,,,,,
524,Nepal,,,4.5,4.5,
528,Netherlands,8.8,,9.8,12.6,11.7
554,New Zealand,,,1.5,,
558,Nicaragua,,,0.7,,
562,Niger,1.5,,,2.9,
566,Nigeria,,,3.6,4.6,
570,Niue,,,,,
578,Norway,,,0.6,0.8,
512,Oman,85.5,,94.1,83.9,
586,Pakistan,63.1,,69.9,,74.4
585,Palau,,,,,
591,Panama,1.1,,0.6,,
598,Papua New Guinea,,,0,0,
600,Paraguay,,,0.1,,
604,Peru,1,,1,,
608,Philippines,,,,16.5,17
616,Poland,24.6,,20.9,20.6,19.4
620,Portugal,,,12.3,,
630,Puerto Rico,11.2,11.6,12.1,14,
634,Qatar,,537.7,336,381,
498,Republic of Moldova,25.4,,,9.1,
642,Romania,9.6,5.9,4.4,4,3.2
643,Russian Federation,,1.7,1.5,,
646,Rwanda,,,1.6,,
659,Saint Kitts and Nevis,,,,,
662,Saint Lucia,,,,,
670,Saint Vincent and the Grenadines,,,,,
882,Samoa,,,,,
674,San Marino,,,,,
678,Sao Tome and Principe,,0.3,,,
682,Saudi Arabia,671.7,,,934.2,
686,Senegal,,,5.7,,
688,Serbia,,,,2.4,2.5
690,Seychelles,,,,,
694,Sierra Leone,,,0.1,0.1,
702,Singapore,,,,,
703,Slovakia,,2.6,2.3,1.4,
705,Slovenia,,,1,2.9,3
90,Solomon Islands,,,,,
706,Somalia,,,22.4,22.4,
710,South Africa,26.6,25.1,24.3,,
724,Spain,33,31,31.9,28.8,29
144,Sri Lanka,18.5,,24.6,24.5,
275,State of Palestine,,,32.1,49.9,
729,Sudan,24,20.1,42.2,42.8,
736,Sudan (former),24,20.1,42.2,42.8,
740,Suriname,,,0.5,,
748,Swaziland,,,23.1,,
752,Sweden,1.7,1.6,1.5,1.5,
756,Switzerland,,,4.9,,
760,Syrian Arab Republic,,83.7,94.1,86.4,
762,Tajikistan,,74.3,53.2,51.1,
764,Thailand,,,,13.1,
807,The former Yugoslav Republic of Macedonia,,24.3,9.3,16.1,
626,Timor-Leste,,,,14.3,
768,Togo,,,1.2,,
772,Tokelau,,,,,
776,Tonga,,,,,
780,Trinidad and Tobago,,7.7,6,,
788,Tunisia,66.8,61.6,61,,
792,Turkey,14.9,,19.9,18.5,
795,Turkmenistan,,96.2,100.6,111.1,
798,Tuvalu,,,,,
800,Uganda,,,0.5,,
804,Ukraine,18.6,,,13.8,
784,United Arab Emirates,,1405,1556,1867,
826,United Kingdom,8.2,8.2,10.6,8.8,
834,United Republic of Tanzania,,,5.4,,
840,United States,15,15.2,15.4,15.6,
858,Uruguay,,,2.6,,
860,Uzbekistan,,115.2,110,100.6,
548,Vanuatu,,,,,
862,Venezuela,,,0.7,,
704,Viet Nam,,,,9.3,
887,Yemen,139.1,,161.1,168.6,
894,Zambia,1.7,1.5,1.5,,
716,Zimbabwe,,,21,,
